"BinaryRemTime_(1,_1)",0
"BinaryRemTime_(1,_2)",1
"BinaryRemTime_(1,_3)",1
"BinaryRemTime_(1,_4)",1
"BinaryRemTime_(1,_5)",1
"BinaryRemTime_(1,_6)",1
"BinaryRemTime_(2,_1)",0
"BinaryRemTime_(2,_2)",1
"BinaryRemTime_(2,_3)",1
"BinaryRemTime_(2,_4)",1
"BinaryRemTime_(2,_5)",1
"BinaryRemTime_(2,_6)",1
"BinaryRemTime_(3,_1)",1
"BinaryRemTime_(3,_2)",1
"BinaryRemTime_(3,_3)",1
"BinaryRemTime_(3,_4)",1
"BinaryRemTime_(3,_5)",1
"BinaryRemTime_(3,_6)",1
"BinaryRemTime_(4,_1)",1
"BinaryRemTime_(4,_2)",1
"BinaryRemTime_(4,_3)",1
"BinaryRemTime_(4,_4)",1
"BinaryRemTime_(4,_5)",1
"BinaryRemTime_(4,_6)",1
"BinaryRemTime_(5,_1)",1
"BinaryRemTime_(5,_2)",1
"BinaryRemTime_(5,_3)",1
"BinaryRemTime_(5,_4)",1
"BinaryRemTime_(5,_5)",1
"BinaryRemTime_(5,_6)",1
"BinaryRemTime_(6,_1)",1
"BinaryRemTime_(6,_2)",1
"BinaryRemTime_(6,_3)",1
"BinaryRemTime_(6,_4)",1
"BinaryRemTime_(6,_5)",1
"BinaryRemTime_(6,_6)",1
"BinaryRemTime_(7,_1)",1
"BinaryRemTime_(7,_2)",1
"BinaryRemTime_(7,_3)",1
"BinaryRemTime_(7,_4)",1
"BinaryRemTime_(7,_5)",1
"BinaryRemTime_(7,_6)",1
"BinarySetTime_(1,_1)",1
"BinarySetTime_(1,_2)",1
"BinarySetTime_(1,_3)",1
"BinarySetTime_(1,_4)",1
"BinarySetTime_(1,_5)",1
"BinarySetTime_(1,_6)",1
"BinarySetTime_(2,_1)",1
"BinarySetTime_(2,_2)",1
"BinarySetTime_(2,_3)",1
"BinarySetTime_(2,_4)",1
"BinarySetTime_(2,_5)",1
"BinarySetTime_(2,_6)",1
"BinarySetTime_(3,_1)",1
"BinarySetTime_(3,_2)",1
"BinarySetTime_(3,_3)",1
"BinarySetTime_(3,_4)",1
"BinarySetTime_(3,_5)",1
"BinarySetTime_(3,_6)",1
"BinarySetTime_(4,_1)",1
"BinarySetTime_(4,_2)",1
"BinarySetTime_(4,_3)",1
"BinarySetTime_(4,_4)",1
"BinarySetTime_(4,_5)",1
"BinarySetTime_(4,_6)",1
"BinarySetTime_(5,_1)",1
"BinarySetTime_(5,_2)",1
"BinarySetTime_(5,_3)",1
"BinarySetTime_(5,_4)",1
"BinarySetTime_(5,_5)",1
"BinarySetTime_(5,_6)",1
"BinarySetTime_(6,_1)",1
